iso3,name,latitude,longitude,landlocked,region,subregion,gdp_per_capita,trade_share,urbanization,agriculture_share,population,dist_equator,tropical,dist_equator_sq,log_gdp,log_population,log_trade,agri_x_landlocked,trade_x_urban,region_encoded,high_income,cluster
TUN,Tunisia,34.0,9.0,0,Africa,Northern Africa,3528.87213306798,102.332614725789,68.8206382576031,9.76625873287072,11875081,34.0,0,1156.0,8.168733589827553,16.289952728914347,4.637953054520343,0.0,7042.595859998192,0,0,1
LTU,Lithuania,56.0,24.0,0,Europe,Northern Europe,19608.7943945553,148.374996011818,67.245735168457,3.12404744403716,2811089,56.0,0,3136.0,9.883733438185496,14.849082510717947,5.006459895986649,0.0,9977.585687431578,3,1,1
IRQ,Iraq,33.0,44.0,0,Asia,Western Asia,5671.8568632942,68.9899384202806,69.8683395385742,3.77000825306199,41192171,33.0,0,1089.0,8.643271832226084,17.53375877199101,4.248351494865093,0.0,4820.21244229349,2,0,1
CHE,Switzerland,47.0,8.0,1,Europe,Western Europe,84121.9310304414,124.127612180467,80.7792907322229,0.647745526895984,8575280,47.0,0,2209.0,11.340022585216989,15.964394203544403,4.829334113984641,0.647745526895984,10026.940472222557,3,1,1
CHL,Chile,-30.0,-71.0,0,Americas,South America,14495.716721687,57.6117545680829,88.1273685623538,3.987812171379,19197744,30.0,0,900.0,9.581608486265589,16.770303330094343,4.070935266366528,0.0,5077.172328345312,1,1,1
VNM,Vietnam,16.16666666,107.83333333,0,Asia,South-Eastern Asia,3440.90025375434,164.704215031408,34.6239134999511,11.7845285540387,97173776,16.16666666,1,261.36111089555556,8.143488417802308,18.39201143879097,5.11020436183625,0.0,5702.704494324817,2,0,0
BGD,Bangladesh,24.0,90.0,0,Asia,Southern Asia,2129.79896954606,31.5780544912404,30.8228396343012,11.9753231358984,164913055,24.0,0,576.0,7.663782873754545,18.920928953589563,3.4836388865732313,0.0,973.3253095467277,2,0,0
VUT,Vanuatu,-16.0,167.0,0,Oceania,Melanesia,3207.44650452083,99.3829688227082,23.5024668917075,21.1205211726384,291985,16.0,1,256.0,8.07323041810311,12.584457710067928,4.608992559628326,0.0,2335.744934355298,4,0,0
PAK,Pakistan,30.0,70.0,0,Asia,Southern Asia,1390.41690981745,28.9055769867032,37.1091631735769,20.6778713222887,230800899,30.0,0,900.0,7.237358916273659,19.257065987737946,3.3980449842981284,0.0,1072.6617730259584,2,0,0
LVA,Latvia,57.0,25.0,0,Europe,Northern Europe,17294.9751600969,125.29163170793,68.066323694246,3.85343444199836,1913822,57.0,0,3249.0,9.758171285122588,14.464612847715298,4.8385937699002906,0.0,8528.140760012218,3,1,1
MLT,Malta,35.9375,14.3754,0,Europe,Southern Europe,32421.9179752262,233.070441910537,94.9332032524644,0.471910659536485,503912,35.9375,0,1291.50390625,10.386589953787338,13.130156928633994,5.45562210386183,0.0,22126.123634034706,3,1,2
SYC,Seychelles,-4.58333333,55.66666666,0,Africa,Eastern Africa,19141.5118743615,173.407846880196,44.0049304031754,2.12955445087691,97625,4.58333333,1,21.006944413888892,9.859614652188395,11.488888887141988,5.161396504041804,0.0,7630.800233327521,0,1,1
GRC,Greece,39.0,22.0,0,Europe,Southern Europe,19335.3602002969,80.5900949510457,78.1888100466875,3.66151933931312,10721582,39.0,0,1521.0,9.869690833311724,16.187769277345733,4.401707869198405,0.0,6301.243625771821,3,1,1
CZE,Czechia,49.75,15.5,1,Europe,Central Europe,24062.7190013343,138.154609993871,72.7876426709563,1.89151770908811,10671870,49.75,0,2475.0625,10.088418992342875,16.18312186565405,4.935585617095212,1.89151770908811,10055.94838557921,3,1,1
ZMB,Zambia,-15.0,30.0,1,Africa,Eastern Africa,1258.98619844462,68.791204936096,43.4897864547552,2.86077493680796,18513839,15.0,1,225.0,7.138062071668629,16.73402906444963,4.245507998048324,2.86077493680796,2991.714812636116,0,0,1
HKG,Hong Kong,22.267,114.188,0,Asia,Eastern Asia,48359.0011950597,353.743521139731,100.0,0.0723017256105577,7507900,22.267,1,495.81928899999997,10.786407650980696,15.831466357473571,5.871395052701373,0.0,35374.3521139731,2,1,2
USA,United States,38.0,-97.0,0,Americas,North America,64746.4506778863,26.4537594940475,80.1304793353594,0.838812891431208,330226227,38.0,0,1444.0,11.078234162273805,19.61528851391572,3.3125031164664622,0.0,2119.7524284803408,1,1,1
SWZ,Eswatini,-26.5,31.5,1,Africa,Southern Africa,3913.14577547336,86.6407948477595,24.3459549517751,7.42401138221192,1179874,26.5,0,702.25,8.272096875662509,13.980918211079477,4.473246584149392,7.42401138221192,2109.3528883495405,0,0,0
SVN,Slovenia,46.11666666,14.81666666,0,Europe,Central Europe,25814.1687167572,160.044275685249,55.4523277282715,1.77040651705792,2088385,46.11666666,0,2126.7469438295557,10.158678795236376,14.551901597960658,5.081679331433929,0.0,8874.827626332262,3,1,1
MDV,Maldives,3.25,73.0,0,Asia,Southern Asia,11740.2724029785,137.125230875185,40.0492764783282,4.49402389452079,487731,3.25,1,10.5625,9.370780296092331,13.097519303344248,4.928160743765172,0.0,5491.766283474871,2,0,1
GHA,Ghana,8.0,-2.0,0,Africa,Western Africa,2186.65822682613,76.824802732152,55.7246279109161,17.323230201462,31258945,8.0,1,64.0,7.690129733579404,17.25781613318783,4.354460181562519,0.0,4281.0335465787,0,0,0
PRY,Paraguay,-23.0,-58.0,1,Americas,South America,5821.18199548738,71.2221617342433,64.9845298299929,9.667473664156,6515058,23.0,1,529.0,8.669258612113234,15.689626671034071,4.279746948027251,9.667473664156,4628.338693775512,1,0,1
MOZ,Mozambique,-18.25,35.0,0,Africa,Eastern Africa,519.09255091362,105.591171401921,33.4177241517032,24.7697818145637,29884380,18.25,1,333.0625,6.2520821927275625,17.212846493831545,4.669000688432581,0.0,3528.6166387646076,0,0,0
PSE,Palestine,31.9,35.2,0,Asia,Western Asia,3656.85827137011,68.9934922812035,85.8136174183656,7.05401698427058,4685306,31.9,0,1017.6099999999999,8.20435966196225,15.359941786356318,4.248402270316243,0.0,5920.581150976157,2,0,1
MDA,Moldova,47.0,29.0,1,Europe,Eastern Europe,4405.33418162155,87.6322371148906,40.772289276123,10.1608126286441,2664224,47.0,0,2209.0,8.390571399652002,14.795423391191633,4.484495641488855,10.1608126286441,3572.9669215621216,3,0,0
PER,Peru,-10.0,-76.0,0,Americas,South America,7037.00803692604,46.9435053754409,83.1033003087105,6.85303103477238,32449303,10.0,1,100.0,8.858938364061398,17.295189521684925,3.870023346388185,0.0,3901.1602247588307,1,0,1
QAT,Qatar,25.5,51.25,0,Asia,Western Asia,66841.3623185691,90.0462934117559,99.1191696672067,0.259972086879587,2638657,25.5,0,650.25,11.110077364287518,14.785780633563377,4.5113680959738085,0.0,8925.31383458291,2,1,1
GEO,Georgia,42.0,43.5,0,Asia,Western Asia,4741.2832715876,117.810080239714,58.6304091780343,7.33548626473072,3720161,42.0,0,1764.0,8.464063110450166,15.129277504882689,4.777526253831588,0.0,6907.253209751485,2,0,1
ECU,Ecuador,-2.0,-77.5,0,Americas,South America,6205.05765246766,48.0828494933307,63.0627139714638,7.78676459859086,17340021,2.0,1,4.0,8.733119988887672,16.6685277403886,3.8935096762937245,0.0,3032.2349845308568,1,0,1
PHL,Philippines,13.0,122.0,0,Asia,South-Eastern Asia,3400.78949767074,68.8418422595678,53.7157859948017,8.82032374730525,110804683,13.0,1,169.0,8.131762888846074,18.523279596727264,4.246233289470499,0.0,3697.89366630284,2,0,1
ETH,Ethiopia,8.0,38.0,1,Africa,Eastern Africa,793.473247210264,28.8152939288346,21.2486705780029,33.6333246930874,115737383,8.0,1,64.0,6.6764198244772,18.566834242829625,3.395021480947894,33.6333246930874,612.2866883021334,0,0,0
SYR,Syria,35.0,38.0,0,Asia,Western Asia,1109.53926036049,41.9994711236162,73.8248788261986,40.7410447915959,20353534,35.0,0,1225.0,7.011700127380202,16.828765115709224,3.7611878161671375,0.0,3100.6058664653933,2,0,0
ROU,Romania,46.0,25.0,0,Europe,Southeast Europe,12909.6104013244,84.9063630584793,52.8931835224862,4.31147831319992,19371648,46.0,0,2116.0,9.465727305331441,16.77932111178473,4.453257901432801,0.0,4490.9678434789885,3,1,1
GTM,Guatemala,15.5,-90.25,0,Americas,Central America,4511.99839552697,45.5167341512863,54.1882267267974,9.40872375710839,17103803,15.5,1,240.25,8.414495437576539,16.654811394407012,3.839812122075325,0.0,2466.4711100532645,1,0,1
NPL,Nepal,28.0,84.0,1,Asia,Southern Asia,1203.14294706401,49.2495265874454,65.9873929484157,21.5833727595669,28414064,28.0,0,784.0,7.092692534405107,17.162394791822408,3.9170011257494406,21.5833727595669,3249.847863449206,2,0,0
BEN,Benin,9.5,2.25,0,Africa,Western Africa,1130.82135339795,63.68133231423,48.7125500590248,26.8758016258337,12726755,9.5,1,90.25,7.03069950908468,16.359217028376385,4.169472633047006,0.0,3102.0800881823225,0,0,0
KWT,Kuwait,29.5,45.75,0,Asia,Western Asia,31707.8737443551,91.6857123895953,100.0,0.370434138380291,4442316,29.5,0,870.25,10.36432031212608,15.306686420032761,4.529214333288379,0.0,9168.57123895953,2,1,1
NCL,New Caledonia,-21.5,165.5,0,Oceania,Melanesia,33411.3358835672,58.210367099604,67.1574673707832,1.78613861386139,283606,21.5,1,462.25,10.41665051909401,12.555341229974847,4.081096646483999,0.0,3909.260829132967,4,1,1
SDN,Sudan,15.0,30.0,0,Africa,Northern Africa,709.975280761719,26.1196204552625,34.4727685824236,20.1640153484443,45548175,15.0,1,225.0,6.565230153600711,17.634281115005894,3.300257467961819,0.0,900.4156314150018,0,0,0
TCD,Chad,15.0,19.0,1,Africa,Middle Africa,893.336441643325,46.6777247152768,24.2731047386633,37.5903652533914,16685223,15.0,1,225.0,6.794963264282223,16.630034035376468,3.8644643017207456,37.5903652533914,1133.0133009764063,0,0,0
URY,Uruguay,-33.0,-56.0,0,Americas,South America,18315.7316980028,49.7448341159636,95.3479309082031,6.50279559696965,3397206,33.0,0,1089.0,9.815515625165808,15.038463887046799,3.9268098219224084,0.0,4743.067006328922,1,1,1
BIH,Bosnia and Herzegovina,44.0,18.0,0,Europe,Southeast Europe,6122.37541352353,94.516125154246,49.4650440037758,5.45004156140876,3345533,44.0,0,1936.0,8.719705439664365,15.023136581152773,4.559295083015845,0.0,4675.244289821159,3,0,1
SWE,Sweden,62.0,15.0,0,Europe,Northern Europe,51648.9892820514,92.7511390290561,87.7088420242759,1.25718377928626,10278887,62.0,0,3844.0,10.85222590576099,16.145602543647346,4.540643814419979,0.0,8135.095000671133,3,1,1
ISL,Iceland,65.0,-18.0,0,Europe,Northern Europe,69296.3144361601,83.7923659518443,93.9770847416131,4.31813380817638,360563,65.0,0,4225.0,11.14614700102435,12.79542197772042,4.440205514592661,0.0,7874.562275756728,3,1,1
HTI,Haiti,19.0,-72.41666666,0,Americas,Caribbean,1352.17204191532,44.5687187758294,52.0069059952475,19.1874037315046,11105163,19.0,1,361.0,7.20946749844469,16.22292069327588,3.819221489362206,0.0,2317.881167703182,1,0,0
BRN,Brunei,4.5,114.66666666,0,Asia,South-Eastern Asia,30426.5730656528,108.509658357959,74.7923311783673,0.986055130118515,442680,4.5,1,20.25,10.32307161958089,13.00060244037872,4.6960127495490696,0.0,8115.690303959961,2,1,1
HRV,Croatia,45.16666666,15.5,0,Europe,Southeast Europe,15563.5987295029,101.394766564216,56.303247958306,2.85685404932209,3949390,45.16666666,0,2040.0277771755552,9.652690051807479,15.18907169457196,4.6288356035280325,0.0,5708.854683539608,3,1,1
MNG,Mongolia,46.0,105.0,1,Asia,Eastern Asia,4347.54610314873,124.396514621165,67.8277299551557,11.5583828612266,3267673,46.0,0,2116.0,8.377366850691757,14.999588668756065,4.831480833722964,11.5583828612266,8437.533201086957,2,0,1
ABW,Aruba,12.5,-69.96666666,0,Americas,Caribbean,30645.8906024548,137.9619293134,62.288276286885,0.0184243247340194,109203,12.5,1,156.25,10.330253857414815,11.600963814443052,4.934200005784367,0.0,8593.410770144757,1,1,1
COG,Republic of the Congo,-1.0,15.0,0,Africa,Middle Africa,2488.42466724916,91.5757547930374,63.5176376123385,7.3469917082119,5616661,1.0,1,1.0,7.819405125487231,15.54124791719195,4.528027280080372,0.0,5816.67560702052,0,0,1
GNQ,Equatorial Guinea,2.0,10.0,0,Africa,Middle Africa,6804.14923073888,94.8787924253545,70.1175419547293,2.43787857420381,1670177,2.0,1,4.0,8.825287886070482,14.328440166800556,4.563084814841006,0.0,6652.667708498848,0,0,1
COL,Colombia,4.0,-72.0,0,Americas,South America,6472.54544924705,37.558533980839,77.4595528518377,6.41072082168314,49907985,4.0,1,16.0,8.77532473350093,17.725691567959988,3.652177449850485,0.0,2909.267247926341,1,0,1
GNB,Guinea-Bissau,12.0,-15.0,0,Africa,Western Africa,811.216425885129,49.9435101361017,43.8745574951172,31.3854900533423,1967696,12.0,1,144.0,6.698534881504114,14.492373873117662,3.930717374442758,0.0,2191.249406974363,0,0,0
KIR,Kiribati,1.41666666,173.0,0,Oceania,Micronesia,1750.9977188915,98.3140421834046,56.2846727145489,26.9783472046262,123921,1.41666666,1,2.0069444255555555,7.467941029538858,11.727399544780592,4.5982869727694915,0.0,5533.573687537282,4,0,0
DEU,Germany,51.0,9.0,0,Europe,Western Europe,47656.199739747,79.0732427175683,81.3053991689039,0.833126017731138,83092962,51.0,0,2601.0,10.771768010581992,18.235470563098215,4.382941749797886,0.0,6429.081562731515,3,1,1
THA,Thailand,15.0,100.0,0,Asia,South-Eastern Asia,7605.69657797759,109.689514715166,55.9266166687012,8.1285680400948,71522271,15.0,1,225.0,8.936652795236206,18.08551944168111,4.706729117208376,0.0,6134.563442050949,2,0,1
BTN,Bhutan,27.5,90.5,1,Asia,Southern Asia,3576.87987100503,76.1235167041505,39.0746823405146,12.9339527848851,764824,27.5,0,756.25,8.182246154967096,13.547401020980102,4.345408249679512,12.9339527848851,2974.5022338575377,2,0,0
GAB,Gabon,-1.0,11.75,0,Africa,Middle Africa,7441.1786472281,73.4280894486644,89.9031850170394,5.5544308701413,2267706,1.0,1,1.0,8.914784535606321,14.634279305797504,4.309833416939371,0.0,6601.4191111509945,0,0,1
LKA,Sri Lanka,7.0,81.0,0,Asia,Southern Asia,4081.94772722003,49.42552388546,19.4946326418437,7.2562467000326,21803000,7.0,1,49.0,8.314329537609215,16.897558132970186,3.920497473185612,0.0,963.5324312777141,2,0,0
ALB,Albania,41.0,20.0,0,Europe,Southeast Europe,6069.43903131027,75.382128932689,56.7639071287255,18.1603973706713,2567801,41.0,0,1681.0,8.711021463194774,14.758560448577475,4.335748754316613,0.0,4278.98416590077,3,0,0
NZL,New Zealand,-41.0,174.0,0,Oceania,Australia and New Zealand,42855.831861632,54.4542971758367,83.804965871667,5.68946266357785,4970300,41.0,0,1681.0,10.665597014219891,15.418990758424128,4.015559207201921,0.0,4563.540516386607,4,1,1
DZA,Algeria,28.0,3.0,0,Africa,Northern Africa,4468.45341883656,46.5068426081672,72.4824561380175,11.4791798857164,43294546,28.0,0,784.0,8.404797636427078,17.583537226609728,3.8608737555744668,0.0,3370.930179464162,0,0,1
SMR,San Marino,43.76666666,12.41666666,1,Europe,Southern Europe,46630.1443120725,307.264778080283,97.0999984741211,0.0152774759329299,34663,43.76666666,0,1915.5211105275555,10.750002484630786,10.453428114630672,5.730959082761566,0.0152774759329299,29835.409482746636,3,1,2
FSM,Micronesia,6.91666666,158.25,0,Oceania,Micronesia,3572.65918282222,95.6852791878173,22.359245777081,23.2544923857868,110282,6.91666666,1,47.84027768555555,8.181065466634227,11.610796000627982,4.571461159100571,0.0,2139.4506746090206,4,0,0
SLV,El Salvador,13.83333333,-88.91666666,0,Americas,Central America,4320.11671534627,76.0420130991468,72.4148941040039,5.1464335217926,6222318,13.83333333,1,191.3611110188889,8.371037698314458,15.643653064101878,4.344350897718914,0.0,5506.574326029993,1,0,1
TON,Tonga,-20.0,-175.0,0,Oceania,Polynesia,4788.83342304684,88.0453900968952,22.3288155626206,18.5717317231686,105669,20.0,1,400.0,8.47404211649415,11.568066845966431,4.489146240814495,0.0,1965.9492766125554,4,0,0
WSM,Samoa,-13.58333333,-172.33333333,0,Oceania,Polynesia,4351.94234943706,83.3310820410377,18.4147344481283,9.10454875149409,209780,13.58333333,1,184.50694435388888,8.378377541535597,12.253814641515595,4.4347505045375275,0.0,1534.5197470609025,4,0,0
DNK,Denmark,56.0,10.0,0,Europe,Northern Europe,59404.2663247723,111.891475065653,88.2096490810669,1.24122741169144,5814422,56.0,0,3136.0,10.992121326420907,15.575851940886242,4.726426959585939,0.0,9869.907750704198,3,1,1
AUT,Austria,47.33333333,13.33333333,1,Europe,Central Europe,49885.9947355204,108.207284904426,68.3176044750522,1.04463413653499,8879920,47.33333333,0,2240.4444441288892,10.817495575722525,15.999303105918763,4.693247772664679,1.04463413653499,7392.462491419863,3,1,1
SVK,Slovakia,48.66666666,19.5,1,Europe,Central Europe,19406.0589683582,183.722608631236,53.3666558664583,1.6170097133415,5454147,48.66666666,0,2368.4444437955553,9.873340614246928,15.511886794719723,5.218855287029872,1.6170097133415,9804.661229711173,3,1,1
CHN,China,35.0,105.0,0,Asia,Eastern Asia,10342.9009524335,35.1994202738836,62.7099151611328,7.00621575788341,1407745000,35.0,0,1225.0,9.244055665042044,21.06525497032569,3.589043104169889,0.0,2207.3526590962983,2,0,1
PYF,French Polynesia,-17.6797,-149.4068,0,Oceania,Polynesia,21582.5892046801,63.3061124024003,61.7824142427508,2.25047826168236,279034,17.6797,1,312.57179209000003,9.97964221329609,12.539088917177997,4.163654687416111,0.0,3911.2044605432393,4,1,1
BOL,Bolivia,-17.0,-65.0,1,Americas,South America,4203.15492855788,45.8209732749024,69.7334986708387,7.63288264501605,11671386,17.0,1,289.0,8.34359069574804,16.272650763277447,3.8463312494353943,7.63288264501605,3195.256778961942,1,0,1
LBY,Libya,25.0,17.0,0,Africa,Northern Africa,9963.19489084483,78.9939691850138,87.8220115209342,2.04201619232517,6951033,25.0,0,625.0,9.206653071315426,15.754400839589696,4.381951246644948,0.0,6937.409271850603,0,0,1
EST,Estonia,59.0,26.0,0,Europe,Northern Europe,24021.2501413306,140.352147998549,69.5787397662154,2.265648962634,1326898,59.0,0,3481.0,10.086694140130202,14.098354445250802,4.95125428033506,0.0,9765.52558122039,3,1,1
PRI,Puerto Rico,18.25,-66.5,0,Americas,Caribbean,31830.5284993358,107.571456836722,93.9519912222253,0.682321472056496,3302691,18.25,1,333.0625,10.368181123950292,15.010248148679745,4.687408544563259,0.0,10106.552568485695,1,1,1
BLR,Belarus,53.0,28.0,1,Europe,Eastern Europe,6837.77339645635,130.850406102184,77.4550771852757,6.79466882799274,9419758,53.0,0,2809.0,8.830217430787368,16.05831995620132,4.881667992826285,6.79466882799274,10135.02830436933,3,0,1
FRO,Faroe Islands,62.0,-7.0,0,Europe,Northern Europe,63068.2872688483,108.623245950251,38.3945655822754,17.0514062234626,51792,62.0,0,3844.0,11.05197334325358,10.854990976166025,4.697049450110528,0.0,4170.542340396542,3,1,0
DOM,Dominican Republic,19.0,-70.66666666,0,Americas,Caribbean,8183.01623600375,50.912982200697,73.5403464672933,4.32511956961036,10894043,19.0,1,361.0,9.009816094639277,16.203726684044828,3.9495688976341174,0.0,3744.1583507223945,1,0,1
HUN,Hungary,47.0,20.0,1,Europe,Central Europe,17012.8598553199,159.925556464831,70.4565277099609,3.32505112170721,9694824,47.0,0,2209.0,9.741724799142766,16.087102692806642,5.080941875846829,3.32505112170721,11267.79940059528,3,1,1
BHR,Bahrain,26.0,50.55,0,Asia,Western Asia,27259.7438599327,135.417543398211,100.0,0.268674381904261,1483756,26.0,0,676.0,10.213166309019025,14.210087268705758,4.915720354427804,0.0,13541.7543398211,2,1,1
CMR,Cameroon,6.0,12.0,0,Africa,Middle Africa,1555.22660476477,43.3785132480415,53.9487914119331,16.8022835644401,25506095,6.0,1,36.0,7.3493765405330835,17.05442800117586,3.79275541644851,0.0,2340.2183629783676,0,0,0
CAN,Canada,60.0,-95.0,0,Americas,North America,46352.8693445211,66.1714852804959,81.7363672047941,1.69707935336103,37618495,60.0,0,3600.0,10.744038475108562,17.443006375720604,4.207248831294177,0.0,5408.616819373241,1,1,1
SGP,Singapore,1.36666666,103.8,0,Asia,South-Eastern Asia,65952.0378959293,324.394985115301,100.0,0.0322521301996085,5703569,1.36666666,1,1.8677777595555554,11.096683058288658,15.556602677211574,5.785039783219656,0.0,32439.4985115301,2,1,2
CRI,Costa Rica,10.0,-84.0,0,Americas,Central America,12884.6859951989,65.7605300176622,77.0435864735963,4.20205116302465,4999553,10.0,1,100.0,9.463794752995097,15.424859066401956,4.201112037912242,0.0,5066.4270809652835,1,1,1
SRB,Serbia,44.0,21.0,1,Europe,Southeast Europe,7755.632986437,107.577309546092,61.0492248535156,4.76474851493196,6945235,44.0,0,1936.0,8.956174695288947,15.753566370891129,4.687462449629991,4.76474851493196,6567.51135961562,3,0,1
POL,Poland,52.0,20.0,0,Europe,Central Europe,15874.5220531254,101.581033817373,59.9626184068963,2.37029744646443,37965475,52.0,0,2704.0,9.672470716417932,17.452187752074973,4.63065306006761,0.0,6091.064768169165,3,1,1
JOR,Jordan,31.0,36.0,0,Asia,Western Asia,4170.1144003465,85.6878334964204,91.515966492507,4.37193790468563,10671891,31.0,0,961.0,8.335698748552389,16.183123833442203,4.462313545178484,0.0,7841.804899073928,2,0,1
